http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,CL,ORDER,FAMILY,S,N_DET,N_UND,N_TY,N_2T,SPEC,LO_NO,TRAN,DATE,OPEN
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,223,0,0,0,1940001,LOAN,Thu Mar 28 00:00:00 CST 1940,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-12,0,0,0,1940001,RTRN,Tue Feb 05 00:00:00 CST 1963,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-42,0,0,0,1940001,RTRN,Thu Nov 09 00:00:00 CST 1978,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-110,0,0,0,1940001,RTRN,Fri May 20 00:00:00 CDT 1983,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-2,0,0,0,1940001,RTRN,Mon Aug 15 00:00:00 CDT 1988,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-12,0,0,0,1940001,RTRN,Mon May 01 00:00:00 CDT 1989,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,BRACONIDAE,P,0,-45,0,0,0,1940001,LOST,Tue May 02 00:00:00 CDT 1989,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,DIPTERA,OTITIDAE,P,0,434,0,0,0,1950001,LOAN,Sat Sep 30 00:00:00 CST 1950,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,DIPTERA,OTITIDAE,P,0,-126,0,0,0,1950001,RTRN,Tue Sep 06 00:00:00 CDT 1977,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,DIPTERA,PHYTALMIIDAE,P,0,28,0,0,0,1950001,LOAN,Sat Sep 30 00:00:00 CST 1950,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,TENEBRIONIDAE,P,187,0,0,0,7,1951002,LOAN,Wed Nov 21 00:00:00 CST 1951,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,TENEBRIONIDAE,P,-130,0,0,0,0,1951002,RTRN,Wed Oct 29 00:00:00 CST 1975,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,TENEBRIONIDAE,P,-4,0,0,0,0,1951002,RTRN,Mon Oct 25 00:00:00 CDT 1993,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CERCOPIDAE,P,599,2250,0,0,21,1958001,LOAN,Tue Dec 31 00:00:00 CST 1957,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CERCOPIDAE,P,-578,-696,0,0,-21,1958001,RTRN,Thu Aug 15 00:00:00 CDT 1985,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CERCOPIDAE,P,-21,-1554,0,0,0,1958001,LOST,Wed Mar 08 00:00:00 CST 1989,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,475,288,0,0,55,1958001,LOAN,Tue Dec 31 00:00:00 CST 1957,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,0,213,0,0,0,1958001,LOAN,Wed Dec 09 00:00:00 CST 1998,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,-100,-147,0,0,-15,1958001,RTRN,Thu Jul 27 00:00:00 CDT 2000,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,-222,-1,0,0,-14,1958001,RTRN,Wed Mar 14 00:00:00 CST 2001,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,-153,-117,0,0,0,1958001,RTRN,Wed May 02 00:00:00 CDT 2001,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HOMOPTERA,CICADIDAE,P,0,-154,0,0,-26,1958001,RTRN,Thu May 24 00:00:00 CDT 2001,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,SPHECIDAE,P,0,190,0,0,0,1959004,LOAN,Mon Nov 02 00:00:00 CST 1959,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,SPHECIDAE,P,0,-190,0,0,0,1959004,RTRN,Thu Apr 23 00:00:00 CDT 1992,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,CARABIDAE,V,0,56,0,0,0,1960004,LOAN,Fri Jul 01 00:00:00 CDT 1960,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,CARABIDAE,V,0,-12,0,0,0,1960004,RTRN,Mon Sep 05 00:00:00 CDT 1966,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,CARABIDAE,V,0,-18,0,0,0,1960004,RTRN,Tue Mar 18 00:00:00 CST 1969,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,COLEOPTERA,CARABIDAE,V,0,-26,0,0,0,1960004,RTRN,Thu Apr 17 00:00:00 CDT 2003,false
hash://sha256/a10b0a9aae28bace5ab02ddb8d1144b8ca5e6742d3b39bf63672ac1eb742a29e,application/dbase,IN,HYMENOPTERA,ANDRENIDAE,P,671,680,0,0,28,1962010,LOAN,Wed Aug 08 00:00:00 CDT 1962,false
